name,taxa,scientificname,genus,family,taxonomic_level
Roucheria punctata,plants,Roucheria punctata,Roucheria,Linaceae,species
Matayba guianensis,plants,Matayba guianensis,Matayba,Sapindaceae,species
Duguetia subcordata,plants,Duguetia subcordata,Duguetia,Annonaceae,species
Sparattosperma leucanthum,plants,Sparattosperma leucanthum,Sparattosperma,Bignoniaceae,species
Callicostella,plants,,Callicostella,Pilotrichaceae,genus
Cyperus bulbosus,plants,Cyperus bulbosus,Cyperus,Cyperaceae,species
Inga bourgoni,plants,Inga bourgoni,Inga,Fabaceae,species
Perama galioides,plants,Perama galioides,Perama,Rubiaceae,species
Eugenia pseudopsidium,plants,Eugenia pseudopsidium,Eugenia,Myrtaceae,species
Crudia oblonga,plants,Crudia oblonga,Crudia,Fabaceae,species
Qualea grandiflora,plants,Qualea grandiflora,Qualea,Vochysiaceae,species
Passiflora vespertilio,plants,Passiflora vespertilio,Passiflora,Passifloraceae,species
Lamiaceae,plants,,,Lamiaceae,family
Passovia rufa,plants,Passovia rufa,Passovia,Loranthaceae,species
Syngonanthus humboldtii,plants,Syngonanthus humboldtii,Syngonanthus,Eriocaulaceae,species
Brachytheciaceae,plants,,,Brachytheciaceae,family
Guatteria blepharophylla,plants,Guatteria blepharophylla,Guatteria,Annonaceae,species
Pouteria lucumifolia,plants,Pouteria lucumifolia,Pouteria,Sapotaceae,species
Protium laxiflorum,plants,Protium laxiflorum,Protium,Burseraceae,species
Micrandropsis scleroxylon,plants,Micrandropsis scleroxylon,Micrandropsis,Euphorbiaceae,species
Unonopsis stipitata,plants,Unonopsis stipitata,Unonopsis,Annonaceae,species
Ochrobryum,plants,,Ochrobryum,Leucobryaceae,genus
Smilacaceae,plants,,,Smilacaceae,family
Leonia,plants,,Leonia,Violaceae,genus
Prionolejeunea denticulata,plants,Prionolejeunea denticulata,Prionolejeunea,Lejeuneaceae,species
Anisophyllea manausensis,plants,Anisophyllea manausensis,Anisophyllea,Anisophylleaceae,species
Diplotropis martiusii,plants,Diplotropis martiusii,Diplotropis,Fabaceae,species
Miconia laevigata,plants,Miconia laevigata,Miconia,Melastomataceae,species
Sterigmapetalum obovatum,plants,Sterigmapetalum obovatum,Sterigmapetalum,Rhizophoraceae,species
Palicourea triphylla,plants,Palicourea triphylla,Palicourea,Rubiaceae,species
Cordia,plants,,Cordia,Cordiaceae,genus
Turnera subulata,plants,Turnera subulata,Turnera,Turneraceae,species
Myrtaceae,plants,,,Myrtaceae,family
Bactris riparia,plants,Bactris riparia,Bactris,Arecaceae,species
Paullinia venosa,plants,Paullinia venosa,Paullinia,Sapindaceae,species
Rhynchospora,plants,,Rhynchospora,Cyperaceae,genus
Calycophyllum spruceanum,plants,Calycophyllum spruceanum,Calycophyllum,Rubiaceae,species
Drymonia serrulata,plants,Drymonia serrulata,Drymonia,Gesneriaceae,species
Hylenaea,plants,,Hylenaea,Celastraceae,genus
Caladium,plants,,Caladium,Araceae,genus
Barcella,plants,,Barcella,Arecaceae,genus
Palicourea didymocarpos,plants,Palicourea didymocarpos,Palicourea,Rubiaceae,species
family2,plants,,,family2,family
